Date,CPI,Year,Month,Wage,CPI_Percentage,Wage_Percentage
2013-08-01,122.9,2013,8,24.75,0,2.1460998761865437
2013-09-01,123.1,2013,9,24.75,0.1627339300244008,2.1460998761865437
2013-10-01,122.8,2013,10,24.75,-0.2437043054427272,2.1460998761865437
2013-11-01,122.8,2013,11,24.75,0,2.1460998761865437
2013-12-01,122.5,2013,12,24.75,-0.24429967426709864,2.1460998761865437
2014-01-01,122.9,2014,1,25.18,0.3265306122449026,1.7373737373737361
2014-02-01,123.8,2014,2,25.18,0.7323026851098384,1.7373737373737361
2014-03-01,124.5,2014,3,25.18,0.5654281098546066,1.7373737373737361
2014-04-01,124.9,2014,4,25.18,0.32128514056225355,1.7373737373737361
2014-05-01,125.5,2014,5,25.18,0.48038430744595223,1.7373737373737361
2014-06-01,125.5,2014,6,25.18,0,1.7373737373737361
2014-07-01,125.3,2014,7,25.18,-0.15936254980079909,1.7373737373737361
2014-08-01,125.3,2014,8,25.18,0,1.7373737373737361
2014-09-01,125.4,2014,9,25.18,0.07980845969673465,1.7373737373737361
2014-10-01,125.5,2014,10,25.18,0.07974481658691732,1.7373737373737361
2014-11-01,125,2014,11,25.18,-0.398406374501992,1.7373737373737361
2014-12-01,124.2,2014,12,25.18,-0.6399999999999977,1.7373737373737361
2015-01-01,123.9,2015,1,25.88,-0.24154589371980445,2.7799841143764863
2015-02-01,125,2015,2,25.88,0.8878127522195273,2.7799841143764863
2015-03-01,125.9,2015,3,25.88,0.7200000000000045,2.7799841143764863
2015-04-01,125.8,2015,4,25.88,-0.07942811755362075,2.7799841143764863
2015-05-01,126.5,2015,5,25.88,0.5564387917329117,2.7799841143764863
2015-06-01,126.8,2015,6,25.88,0.23715415019762623,2.7799841143764863
2015-07-01,126.9,2015,7,25.88,0.07886435331230957,2.7799841143764863
2015-08-01,126.9,2015,8,25.88,0,2.7799841143764863
2015-09-01,126.7,2015,9,25.88,-0.15760441292356409,2.7799841143764863
2015-10-01,126.9,2015,10,25.88,0.1578531965272319,2.7799841143764863
2015-11-01,126.7,2015,11,25.88,-0.15760441292356409,2.7799841143764863
2015-12-01,126.1,2015,12,25.88,-0.47355958958169575,2.7799841143764863
2016-01-01,126.4,2016,1,26.41,0.23790642347344282,2.0479134466769753
2016-02-01,126.7,2016,2,26.41,0.23734177215189647,2.0479134466769753
2016-03-01,127.5,2016,3,26.41,0.6314127861089165,2.0479134466769753
2016-04-01,127.9,2016,4,26.41,0.31372549019608287,2.0479134466769753
2016-05-01,128.4,2016,5,26.41,0.3909304143862392,2.0479134466769753
2016-06-01,128.7,2016,6,26.41,0.23364485981307082,2.0479134466769753
2016-07-01,128.4,2016,7,26.41,-0.23310023310021988,2.0479134466769753
2016-08-01,128.3,2016,8,26.41,-0.07788161993769027,2.0479134466769753
2016-09-01,128.4,2016,9,26.41,0.07794232268121147,2.0479134466769753
2016-10-01,128.6,2016,10,26.41,0.15576323987538054,2.0479134466769753
